2,0,1,risk_score
IRC,186,1,0.0053475935828877
X11,67,6,0.0821917808219178
Z39_50,0,862,1.0
aol,0,2,1.0
auth,236,719,0.7528795811518325
bgp,0,710,1.0
courier,0,734,1.0
csnet_ns,0,545,1.0
ctf,0,563,1.0
daytime,0,521,1.0
discard,0,538,1.0
domain,38,531,0.9332161687170475
domain_u,9034,9,0.0009952449408382174
echo,0,434,1.0
eco_i,497,4089,0.8916266899258614
ecr_i,190,2887,0.9382515437114072
efs,0,485,1.0
exec,0,474,1.0
finger,545,1222,0.6915676287492926
ftp,918,836,0.4766248574686431
ftp_data,4984,1876,0.27346938775510204
gopher,0,518,1.0
harvest,0,2,1.0
hostnames,0,460,1.0
http,38049,2289,0.05674550052060092
http_2784,0,1,1.0
http_443,0,530,1.0
http_8001,0,2,1.0
imap4,3,644,0.9953632148377125
iso_tsap,0,687,1.0
klogin,0,433,1.0
kshell,0,299,1.0
ldap,0,410,1.0
link,0,475,1.0
login,0,429,1.0
mtp,0,439,1.0
name,0,451,1.0
netbios_dgm,0,405,1.0
netbios_ns,0,347,1.0
netbios_ssn,0,362,1.0
netstat,0,360,1.0
nnsp,0,630,1.0
nntp,0,296,1.0
ntp_u,168,0,0.0
other,2604,1755,0.4026152787336545
pm_dump,0,5,1.0
pop_2,0,78,1.0
pop_3,186,78,0.29545454545454547
printer,0,69,1.0
private,982,20871,0.9550633780259004
red_i,8,0,0.0
remote_job,0,78,1.0
rje,0,86,1.0
shell,4,61,0.9384615384615385
smtp,7029,284,0.038834951456310676
sql_net,0,245,1.0
ssh,5,306,0.9839228295819936
sunrpc,0,381,1.0
supdup,0,544,1.0
systat,0,477,1.0
telnet,917,1436,0.610284742881428
tftp_u,3,0,0.0
tim_i,5,3,0.375
time,76,578,0.8837920489296636
urh_i,10,0,0.0
urp_i,599,3,0.0049833887043189366
uucp,0,780,1.0
uucp_path,0,689,1.0
vmnet,0,617,1.0
whois,0,693,1.0
